Builder,State,County / Source,Source URL,Stage,Classification,Date-enumerable?,Tenant name exposed?,Property/defendant address exposed?,Est. weekly filings,Evidence,Blocker,Last updated,Lead notes,PR link
Nourul,TX,Travis County JP Court (Austin),https://odysseypa.traviscountytx.gov/JPPublicAccess/,Researching,TBD,TBD,TBD,TBD,,,Tyler Odyssey on .gov — Bright Data blocks. Needs Playwright with residential IP. Confirm Forcible Detainer hearing type label first.,2026-05-27,,
Nourul,TX,Williamson County JP Court,https://judicialrecords.wilco.org,Researching,TBD,TBD,TBD,TBD,,,Same Tyler stack as Travis. Test public vs securepa subdomain for JP records.,2026-05-27,,
Nourul,TX,Fort Bend County JP Court,https://tylerpaw.fortbendcountytx.gov/PublicAccess/,Researching,TBD,TBD,TBD,TBD,,,Tyler PAW. Civil/eviction Date Filed behavior unconfirmed. Portal intermittently 522.,2026-05-27,,
Nourul,TX,Montgomery County JP Courts,,Researching,TBD,TBD,TBD,TBD,,,No public extract found in prior sweep. Probe for date-enumerable JP search.,2026-05-27,,
Nourul,TX,Brazoria County JP Courts,,Researching,TBD,TBD,TBD,TBD,,,Unmapped. Probe for public extract.,2026-05-27,,
Nourul,TX,Collin County JP Courts,,Researching,TBD,TBD,TBD,TBD,,,Unmapped. Probe for public extract.,2026-05-27,,
Nourul,TX,Denton County JP Courts,,Researching,TBD,TBD,TBD,TBD,,,Unmapped. Probe for public extract.,2026-05-27,,
Nourul,TX,Galveston County JP Courts,,Researching,TBD,TBD,TBD,TBD,,,Unmapped. Probe for public extract.,2026-05-27,,
Nourul,TX,El Paso County JP Courts,,Researching,TBD,TBD,TBD,TBD,,,Unmapped. Probe for public extract.,2026-05-27,,
Franz,OH,Cuyahoga County (Cleveland Housing Court),https://clevelandhousingcourt.org/accessible-civil-docket,Researching,Yellow,Y,Y,N,290,Static HTML docket ~583 cases/2-weeks confirmed 2026-05-14,No property address exposed — yellow until SearchBug enrichment proven on Ohio addresses,2026-05-27,,
Franz,OH,Montgomery County (Dayton Municipal Court),https://clerkofcourt.daytonohio.gov,Researching,Yellow,Y,TBD,TBD,,,Filing Date is explicit search type. Address exposure unconfirmed. Use Dayton clerk portal (avoid PRO system).,2026-05-27,,
Franz,OH,Summit County (Akron Municipal Court),,Researching,TBD,TBD,TBD,TBD,,,Online docket exists but no bulk/CSV export found in prior sweep. Re-probe.,2026-05-27,,
Franz,OH,Lucas County (Toledo Municipal Court),,Researching,TBD,TBD,TBD,TBD,,,Online docket exists but no bulk/CSV export found. Re-probe.,2026-05-27,,
Franz,OH,Butler County Municipal Court,,Researching,TBD,TBD,TBD,TBD,,,Unmapped in detail. Probe online docket.,2026-05-27,,
Franz,OH,Stark County Municipal Court,,Researching,TBD,TBD,TBD,TBD,,,Unmapped in detail. Probe online docket.,2026-05-27,,
Franz,OH,Lorain County Municipal Court,,Researching,TBD,TBD,TBD,TBD,,,Unmapped in detail. Probe online docket.,2026-05-27,,
Donnald,TN,Shelby County General Sessions (Memphis),https://shelbygeneralsessions.com/115/Download-Case-Information,Researching,Yellow,TBD,TBD,TBD,,,HIGHEST UPSIDE. Anomalous Download Case Info page — could be free bulk extract or clerk-gated. Test in browser before any build.,2026-05-27,,
Donnald,TN,Knox County Civil Sessions (Knoxville),https://knoxcounty.org/civil/dockets.php,Researching,Yellow,Y,Y,N,,,Weekly PDF dockets no login. No address in PDFs. Paid sub for case detail. Yellow until enrichment.,2026-05-27,,
Donnald,TN,Hamilton County General Sessions (Chattanooga),https://edockets.us/hamiltontn/,Researching,Yellow,Y,Y,N,,,Clean JSON API for docket PDFs by date. Detainer type confirmed. No address in any docket format.,2026-05-27,,
Donnald,TN,Sumner County General Sessions (Gallatin),https://sumnercourts.com/,Researching,Yellow,Y,Y,N,,,Direct daily PDF dockets by courtroom. No login. No address in any field.,2026-05-27,,
Donnald,TN,Rutherford County General Sessions (Murfreesboro),,Researching,TBD,TBD,TBD,TBD,,,Unmapped. Probe for public docket or download.,2026-05-27,,
Donnald,TN,Williamson County General Sessions (Franklin),,Researching,TBD,TBD,TBD,TBD,,,Unmapped. Probe for public docket or download.,2026-05-27,,
Donnald,TN,Montgomery County General Sessions (Clarksville),,Researching,TBD,TBD,TBD,TBD,,,Unmapped. Probe for public docket or download.,2026-05-27,,
