case_number,track,dnc_status,dnc_source,channel,bland_dispatched,instantly_enrolled,launched_at_utc,outcome,ghl_contact_id,error
26GT5525,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:24:39.234171+00:00,ghl_staged,FTV4IKiOD4MfdxRwPPmh,
26GT5520,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:24:43.365117+00:00,ghl_staged,dek6KrkGBy1tpTBymUs1,
26GT5512,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:24:46.631766+00:00,ghl_staged,R5n8K1TeUyYZbjRdiUgy,
16GT2772,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:24:50.253328+00:00,ghl_staged,lItSaa4g9j87G09AzTAo,
26GT5523,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:24:53.078896+00:00,ghl_staged,6CAZbjBlvDjpKPaW8vbE,
26GT5502,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:24:55.902151+00:00,ghl_staged,1KlExRpvA7t6TKxPQGqV,
26GT5336,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:25:01.637600+00:00,ghl_staged,8VAnw2AOo9VInOnByifX,
26GT5496,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:25:04.666912+00:00,ghl_staged,xnlpx2HaBybip9P9jn8L,
267100205586,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:25:08.020701+00:00,ghl_staged,tjbsiOSc0OFzQqTK8Jno,
267100205594,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:25:10.765461+00:00,ghl_staged,2SnZk7GY0ijJogYBUQNO,
267100205385,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:25:14.301233+00:00,ghl_staged,zvFqJom4O3XNO3E6rz0v,
26GT4696,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:25:16.905946+00:00,ghl_staged,iWTnqYuMSNvTx7KjPcaz,
24GT2124,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:25:19.924441+00:00,ghl_staged,IG6YaM19ZdUwpKT2YBm9,
26GT4773,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:25:30.403564+00:00,ghl_staged,EzoUfwtiWrAMDhgdJyjV,
26GT4724,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:25:33.303402+00:00,ghl_staged,oZtbX8WKIBBHOj0ulJg3,
265200212945,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:25:35.832064+00:00,ghl_staged,7QR3YLFUj7q2aOW6jLel,
261100205657,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:25:38.353689+00:00,ghl_staged,zlOd07X2cYEDXrHGxVE3,
261100203103,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:25:41.246351+00:00,ghl_staged,SZTt2QJCF4mDp0gEoOfW,
261100202937,ng,blocked,ftc_download,ghl_only,False,False,2026-05-27T15:25:44.422631+00:00,ghl_staged,SDgXzikyXHjnvIGPfclR,
265200212947,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:25:47.265511+00:00,ghl_staged,dG8FrihveybmemWNK5nz,
261100203195,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:25:50.780107+00:00,ghl_staged,pPTyqE8b5aL8Fr0WVIHE,
265200210510,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:25:53.408654+00:00,ghl_staged,Yp3IR3gJEHOiXy5oyzcE,
261100202803,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:25:56.583363+00:00,ghl_staged,wTcxr7aviZzBFiT2x5x9,
26GT5629,ng,blocked,ftc_registry,ghl_only,False,False,2026-05-27T15:25:59.086574+00:00,ghl_staged,XYVhdcht0S3aKFasCAID,
26GT5647,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:26:02.140904+00:00,ghl_staged,MV3A93w4pdhJV3dcfmaD,
26GT5623,ng,blocked,ftc_registry,ghl_only,False,False,2026-05-27T15:26:06.001766+00:00,ghl_staged,dvVEMiCr1tPjFwieJZCW,
